,artid,view,title,category,x,y
0,193,52.210585816010386,关于我们,3,8.518455462392819,65.15619174287932
1,10430,35.42595480517312,生物大小、城市规模、公司寿命，背后竟然遵循同一套规模法则！,3,14.434642416605048,63.118685968190356
2,10795,32.9259873293329,一杯水为何存在：「涌现」与复杂性,3,8.72983503319613,59.60237099625061
3,10825,24.20922931202778,究竟是什么让工蚁任劳任怨，而蚁后坐享其成？,3,8.624274265904521,55.64382797956725
4,10827,32.561005802580965,从大西部号的疯狂远征谈起——规模、可控与复杂 | 《规模》,3,21.492440195144866,59.02423421187146
5,10759,31.271130558854825,冰雪奇缘：为什么一粒灰尘可以长成六边形的雪花？,16,12.852462384269376,41.886661722990254
6,10756,48.68123158397972,除了时间、空间，你还可以从哪个维度下看待世界！,16,28.68792716249238,32.26167644387064
7,10747,32.924042220330335,有关祖母假说、进化图模型以及生物进化的真相,3,19.30018395102437,46.15135683347618
8,10730,38.652044630811275,危机：21篇顶刊社会科学论文仅有13篇可以复现,3,11.814660842780862,58.66261565378074
9,10725,53.006602060362646,复杂系统新书推荐：社会和生态科学的复杂性和韧性,3,14.761249436291411,56.59129033725393
10,10707,42.950777146153435,Science重磅: 蚂蚁的智慧——懒惰竟能让交通流输运效率最高 | 论文解读,3,18.688891719009582,62.252695850200354
11,10673,42.89476582471923,震惊！图灵竟是隐藏的生物学高手？——解读图灵斑图的生物学含义,3,6.038212681292708,46.91870027674677
12,4312,31.637603005443413,Flownetwork：流网络的开源Python包,3,22.05739047965515,56.093218792787646
13,10590,52.54650017295352,文化中的几何：词嵌入如何捕捉文化社会学的微妙关系 | 论文解读,3,3.529676237814055,53.46025528038642
14,7720,23.12688708752848,对机器学习、张量网络和物理的一些看法 | 程嵩,3,18.355810212270466,57.20675446394627
15,10099,15.208970970013553,人机融合新时代，走近2050，对话重量级嘉宾,3,16.264266930715404,49.88311940044248
16,7764,27.151974564251734,利用卷积神经网络进行手势识别 | 赵文和,3,14.019475589269193,46.35148884527953
17,8250,16.49335670064561,深度学习在自然语言处理中的应用 | 原创精选,3,18.811494811568185,49.60097520204195
18,10667,41.43701553290552,规模法则揭秘《蚁人》“超级英雄”套路 | 新书推荐《规模》,16,27.72698643488242,36.585148806413855
19,10642,46.09389675753066,混沌、分形理论及其在信息科学中的应用 | IWCFTA2018,3,14.27431791276066,48.767987217765146
20,10643,44.01226042102645,Science最新重磅综述：如何应对人工智能产生的伦理学危机？,16,22.28508794451361,35.713353884666816
21,10628,32.89399113826703,在科学、运动和音乐领域，成功有迹可循吗？| 专题综述（附论文下载）,16,16.75625639876743,35.123158291674855
22,10606,41.68374209342755,如果黑客发起“微暖攻击”，你怎么接招？ | 论文解读,6,9.98264370744713,22.262620298627425
23,10572,45.322567307420556,直播倒计时3小时 | 傅渥成集智专场直播：宇宙从何而来,6,8.934927355418086,25.167540289642957
24,10562,42.2248511042564,衰老在所难免？人类细胞衰老在实验室被成功逆转,4,6.778083410043665,14.709128101195839
25,10563,35.65093046583241,会议预告 | 全国复杂性科学研究会2018年年会,16,14.875687670534571,32.9405427797864
26,10526,41.921253123689226,谣言比真相传得更快更远，看AI如何拦住它！,16,24.921544253102113,42.40601303942012
27,4690,18.11621643619569,人工智能社会学－未来的新兴学科？——AI视野（四）| 张江,3,9.918370983882497,49.3460401032977
28,10487,25.40844658369663,找到你混乱生活中的秩序——Kolmogorov复杂度,13,10.455456717916041,17.027174597370482
29,10489,49.98337334174012,首届计算传播学年会即将在京召开，参会指南看过来！,3,26.66580342986919,52.98177754088027
